Território;Nome do território;Ano;Cobertura do SIM
RS;Rio Grande do Sul;2000;98
RS;Rio Grande do Sul;2001;97.6
RS;Rio Grande do Sul;2002;97.8
RS;Rio Grande do Sul;2003;97.7
RS;Rio Grande do Sul;2004;99
RS;Rio Grande do Sul;2005;97
RS;Rio Grande do Sul;2006;97.3
RS;Rio Grande do Sul;2007;99.8
RS;Rio Grande do Sul;2008;95.9
RS;Rio Grande do Sul;2009;98.5
RS;Rio Grande do Sul;2010;98.7
RS;Rio Grande do Sul;2011;100.2
RS;Rio Grande do Sul;2012;97.3
RS;Rio Grande do Sul;2013;100.8
RS;Rio Grande do Sul;2014;98.5
RS;Rio Grande do Sul;2015;99.1
RS;Rio Grande do Sul;2016;99.3
RS;Rio Grande do Sul;2017;99.5
RS;Rio Grande do Sul;2018;99.3
RS;Rio Grande do Sul;2019;99.5
RS;Rio Grande do Sul;2020;99.1
RS;Rio Grande do Sul;2021;99.3
RS;Rio Grande do Sul;2022;99.5
RS;Rio Grande do Sul;2023;99.4
